bestand,noise,algoritme,tijd,metriek,voor,na,verschil
lena/,8_vert._stripes_w3_p8_s1_f0.png,DCT row,0.028791324,SSIM,0.0939603294328399,0.0367890417565497,-0.0571712876762901
lena/,8_vert._stripes_w3_p8_s1_f0.png,DCT col,0.023129398,PSNR,9.92805027780493,9.77577044559572,-0.152279832209214
lena/,8_vert._stripes_w3_p8_s1_f0.png,DCT col,0.023129398,SSIM,0.0939603294328399,0.0451923248675828,-0.0487680045652571
lena/,9_stripes_w3_p8_s1_f0.png,Convolution filter,0.073989453,PSNR,7.80830383650632,8.80101072314986,0.992706886643541
lena/,9_stripes_w3_p8_s1_f0.png,Convolution filter,0.073989453,SSIM,0.0439948675910818,0.0654338137322379,0.0214389461411561
lena/,9_stripes_w3_p8_s1_f0.png,Spectrum filter,0.073241327,PSNR,7.80830383650632,9.893749832973,2.08544599646668
lena/,9_stripes_w3_p8_s1_f0.png,Spectrum filter,0.073241327,SSIM,0.0439948675910818,0.409174276913183,0.365179409322101
lena/,9_stripes_w3_p8_s1_f0.png,First spectrum then convolution,0.154161919,PSNR,7.80830383650632,9.90926286346441,2.1009590269581
lena/,9_stripes_w3_p8_s1_f0.png,First spectrum then convolution,0.154161919,SSIM,0.0439948675910818,0.458350099435769,0.414355231844687
lena/,9_stripes_w3_p8_s1_f0.png,First convolution then spectrum,0.150905944,PSNR,7.80830383650632,9.90284419869721,2.0945403621909
lena/,9_stripes_w3_p8_s1_f0.png,First convolution then spectrum,0.150905944,SSIM,0.0439948675910818,0.459052363230489,0.415057495639407
lena/,9_stripes_w3_p8_s1_f0.png,Wiener Filter,0.015562101,PSNR,7.80830383650632,9.2441704951299,1.43586665862359
lena/,9_stripes_w3_p8_s1_f0.png,Wiener Filter,0.015562101,SSIM,0.0439948675910818,0.111101052804453,0.0671061852133714
lena/,9_stripes_w3_p8_s1_f0.png,FFT row,0.01735927,PSNR,7.80830383650632,8.22358591233716,0.41528207583084
lena/,9_stripes_w3_p8_s1_f0.png,FFT row,0.01735927,SSIM,0.0439948675910818,0.0391274140174016,-0.00486745357368022
lena/,9_stripes_w3_p8_s1_f0.png,FFT col,0.013249506,PSNR,7.80830383650632,8.13596910354541,0.327665267039096
lena/,9_stripes_w3_p8_s1_f0.png,FFT col,0.013249506,SSIM,0.0439948675910818,0.0320584382477531,-0.0119364293433287
